full_team_name,team_name,real_team_name,league_id,league_name,team_id,division_id,division_name,division_full_name,conference_id,conference_name,conference_full_name,league,team_league_id,city_name,state_name,country,stadium_id,logo_filename
New_York_City_Fc,new_york_city_fc,New York City FC,2,mls,1108,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,111,new_york,ny,us,241,new_york_city_fc_logo.png
New_York_Red_Bulls,new_york_red_bulls,New York Red Bulls,2,mls,1116,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,112,new_york,ny,us,221,new_york_red_bulls_logo.png
Orlando_City_Sc,orlando_city_sc,Orlando City SC,2,mls,1120,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,113,orlando,fl,us,165,orlando_city_sc_logo.png
Philadelphia_Union,philadelphia_union,Philadelphia Union,2,mls,1127,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,114,philadelphia,pa,us,224,philadelphia_union_logo.png
Toronto_Fc,toronto_fc,Toronto FC,2,mls,1159,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,115,toronto,on,ca,118,toronto_fc_logo.png
Austin_Fc,austin_fc,Austin FC,2,mls,1014,110,Western, Western Conference,106,Western, Western Conference,MLS,116,austin,tx,us,204,austin_fc_logo.png
Colorado_Rapids,colorado_rapids,Colorado Rapids,2,mls,1042,110,Western, Western Conference,106,Western, Western Conference,MLS,117,denver,co,us,140,colorado_rapids_logo.png
Fc_Dallas,fc_dallas,FC Dallas,2,mls,1060,110,Western, Western Conference,106,Western, Western Conference,MLS,118,dallas,tx,us,232,fc_dallas_logo.png
Houston_Dynamo_Fc,houston_dynamo_fc,Houston Dynamo FC,2,mls,1066,110,Western, Western Conference,106,Western, Western Conference,MLS,119,houston,tx,us,215,houston_dynamo_fc_logo.png
La_Galaxy,la_galaxy,Los Angeles Galaxy,2,mls,1077,110,Western, Western Conference,106,Western, Western Conference,MLS,120,los_angeles,ca,us,141,la_galaxy_logo.png
Los_Angeles_Fc,los_angeles_fc,Los Angeles FC,2,mls,1083,110,Western, Western Conference,106,Western, Western Conference,MLS,121,los_angeles,ca,us,119,los_angeles_fc_logo.png
Minnesota_United_Fc,minnesota_united_fc,Minnesota United FC,2,mls,1097,110,Western, Western Conference,106,Western, Western Conference,MLS,122,minneapolis,mn,us,103,minnesota_united_fc_logo.png
Portland_Timbers,portland_timbers,Portland Timbers,2,mls,1133,110,Western, Western Conference,106,Western, Western Conference,MLS,123,portland,orleans,us,202,portland_timbers_logo.png
Real_Salt_Lake,real_salt_lake,Real Salt Lake,2,mls,1135,110,Western, Western Conference,106,Western, Western Conference,MLS,124,salt_lake_city,ut,us,105,real_salt_lake_logo.png
San_Diego_Fc,san_diego_fc,San Diego FC,2,mls,1138,110,Western, Western Conference,106,Western, Western Conference,MLS,125,san_diego,ca,us,217,san_diego_fc_logo.png
