full_team_name,team_name,real_team_name,league_id,team_id,conference_id,division_id,team_league_id,city_name,state_name,country,stadium_id,logo_filename,team_color_1,team_color_2,team_color_3
Brooklyn_Nets,brooklyn_nets,Brooklyn Nets,3,1015,106,112,102,brooklyn,ny,us,114.0,brooklyn_nets_logo.png,#000000,#FFFFFF,#000000
New_York_Knicks,new_york_knicks,New York Knicks,3,1113,106,112,103,new_york,ny,us,181.0,new_york_knicks_logo.png,#006BB6,#F58426,#FFFFFF
Philadelphia_76Ers,philadelphia_76ers,Philadelphia 76ers,3,1124,106,112,104,philadelphia,pa,us,240.0,philadelphia_76ers_logo.png,#006BB6,#ED174C,#FFFFFF
Toronto_Raptors,toronto_raptors,Toronto Raptors,3,1166,106,112,105,toronto,on,ca,213.0,toronto_raptors_logo.png,#CE1141,#000000,#FFFFFF
Chicago_Bulls,chicago_bulls,Chicago Bulls,3,1027,106,113,106,chicago,il,us,237.0,chicago_bulls_logo.png,#CE1141,#000000,#FFFFFF
Cleveland_Cavaliers,cleveland_cavaliers,Cleveland Cavaliers,3,1035,106,113,107,cleveland,oh,us,207.0,cleveland_cavaliers_logo.png,#860038,#FDBB30,#FFFFFF
Detroit_Pistons,detroit_pistons,Detroit Pistons,3,1052,106,113,108,detroit,mi,us,175.0,detroit_pistons_logo.png,#C8102E,#1D42BA,#FFFFFF
Indiana_Pacers,indiana_pacers,Indiana Pacers,3,1068,106,113,109,indiana,in,us,152.0,indiana_pacers_logo.png,#002D62,#FDBB30,#FFFFFF
Milwaukee_Bucks,milwaukee_bucks,Milwaukee Bucks,3,1093,106,113,110,milwaukee,wi,us,149.0,milwaukee_bucks_logo.png,#00471B,#EEE1C6,#FFFFFF
Atlanta_Hawks,atlanta_hawks,Atlanta Hawks,3,1007,106,114,111,atlanta,ga,us,222.0,atlanta_hawks_logo.png,#E03A3E,#C1D32F,#FFFFFF
Charlotte_Hornets,charlotte_hornets,Charlotte Hornets,3,1023,106,114,112,charlotte,nc,us,220.0,charlotte_hornets_logo.png,#1D1160,#00788C,#FFFFFF
Miami_Heat,miami_heat,Miami Heat,3,1090,106,114,113,miami,fl,us,167.0,miami_heat_logo.png,#98002E,#F9A01B,#FFFFFF
Orlando_Magic,orlando_magic,Orlando Magic,3,1122,106,114,114,orlando,fl,us,170.0,orlando_magic_logo.png,#0077C0,#C4CED4,#FFFFFF
Washington_Wizards,washington_wizards,Washington Wizards,3,1176,106,114,115,washington,dc,us,125.0,washington_wizards_logo.png,#002B5C,#E31837,#FFFFFF
Denver_Nuggets,denver_nuggets,Denver Nuggets,3,1050,107,115,116,denver,co,us,112.0,denver_nuggets_logo.png,#0E2240,#FEC524,#FFFFFF
Minnesota_Timberwolves,minnesota_timberwolves,Minnesota Timberwolves,3,1095,107,115,117,minneapolis,mn,us,228.0,minnesota_timberwolves_logo.png,#0C2340,#236192,#FFFFFF
Oklahoma_City_Thunder,oklahoma_city_thunder,Oklahoma City Thunder,3,1120,107,115,118,oklahoma_city,ok,us,194.0,oklahoma_city_thunder_logo.png,#007AC1,#EF3B24,#FFFFFF
Portland_Trail_Blazers,portland_trail_blazers,Portland Trail Blazers,3,1135,107,115,119,portland,or,us,185.0,portland_trail_blazers_logo.png,#E03A3E,#000000,#FFFFFF
Utah_Jazz,utah_jazz,Utah Jazz,3,1167,107,115,120,salt_lake_city,ut,us,139.0,utah_jazz_logo.png,#002B5C,#F9A01B,#FFFFFF
Golden_State_Warriors,golden_state_warriors,Golden State Warriors,3,1060,107,116,121,san_francisco,ca,us,127.0,golden_state_warriors_logo.png,#1D428A,#FFC72C,#FFFFFF
La_Clippers,la_clippers,Los Angeles Clippers,3,1075,107,116,122,los_angeles,ca,us,166.0,la_clippers_logo.png,#C8102E,#1D428A,#FFFFFF
Los_Angeles_Lakers,los_angeles_lakers,Los Angeles Lakers,3,1084,107,116,123,los_angeles,ca,us,137.0,los_angeles_lakers_logo.png,#552583,#FDB927,#FFFFFF
Phoenix_Suns,phoenix_suns,Phoenix Suns,3,1130,107,116,124,phoenix,az,us,198.0,phoenix_suns_logo.png,#1D1160,#E56020,#FFFFFF
Sacramento_Kings,sacramento_kings,Sacramento Kings,3,1140,107,116,125,sacramento,ca,us,158.0,sacramento_kings_logo.png,#5A2D81,#63727A,#FFFFFF
Dallas_Mavericks,dallas_mavericks,Dallas Mavericks,3,1044,107,117,126,dallas,tx,us,106.0,dallas_mavericks_logo.png,#00538C,#002B5E,#FFFFFF
Houston_Rockets,houston_rockets,Houston Rockets,3,1065,107,117,127,houston,tx,us,231.0,houston_rockets_logo.png,#CE1141,#000000,#FFFFFF
Memphis_Grizzlies,memphis_grizzlies,Memphis Grizzlies,3,1088,107,117,128,memphis,tn,us,147.0,memphis_grizzlies_logo.png,#5D76A9,#12173F,#FFFFFF
New_Orleans_Pelicans,new_orleans_pelicans,New Orleans Pelicans,3,1107,107,117,129,new_orleans,la,us,216.0,new_orleans_pelicans_logo.png,#0C2340,#C8102E,#FFFFFF
San_Antonio_Spurs,san_antonio_spurs,San Antonio Spurs,3,1141,107,117,130,san_antonio,tx,us,151.0,san_antonio_spurs_logo.png,#C4CED4,#000000,#FFFFFF
Buffalo_Bills,buffalo_bills,Buffalo Bills,4,1016,109,119,101,buffalo,ny,us,162.0,buffalo_bills_logo.png,#00338D,#C60C30,#FFFFFF
Miami_Dolphins,miami_dolphins,Miami Dolphins,4,1089,109,119,102,miami,fl,us,161.0,miami_dolphins_logo.png,#008E97,#FC4C02,#FFFFFF
New_England_Patriots,new_england_patriots,New England Patriots,4,1104,109,119,103,foxborough,ma,us,156.0,new_england_patriots_logo.png,#002244,#C60C30,#FFFFFF
New_York_Jets,new_york_jets,New York Jets,4,1112,109,119,104,new_york,ny,us,183.0,new_york_jets_logo.png,#125740,#000000,#FFFFFF
Baltimore_Ravens,baltimore_ravens,Baltimore Ravens,4,1011,109,120,105,baltimore,md,us,180.0,baltimore_ravens_logo.png,#241773,#000000,#FFFFFF
Cincinnati_Bengals,cincinnati_bengals,Cincinnati Bengals,4,1032,109,120,106,cincinnati,oh,us,195.0,cincinnati_bengals_logo.png,#FB4F14,#000000,#FFFFFF
Cleveland_Browns,cleveland_browns,Cleveland Browns,4,1034,109,120,107,cleveland,oh,us,164.0,cleveland_browns_logo.png,#311D00,#FF3C00,#FFFFFF
Pittsburgh_Steelers,pittsburgh_steelers,Pittsburgh Steelers,4,1133,109,120,108,pittsburgh,pa,us,101.0,pittsburgh_steelers_logo.png,#FFB612,#000000,#FFFFFF
